id,restaurant_name,website_url,city,country,cuisine_type,price_range,rating,review_count,address,phone,latitude,longitude,menu_url_count,menu_urls,menu_types,best_extraction_confidence,total_items_extracted,last_crawled,data_source,has_menu_data,export_date
db_63,De Halve Maan,https://dehalvemaan.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,6,https://dehalvemaan.nl/; https://dehalvemaan.nl/menu/; https://dehalvemaan.nl/menukaart/lunch/; https://dehalvemaan.nl/menukaart/diner/; https://dehalvemaan.nl/?nav_cpt=menukaart; https://dehalvemaan.nl/menukaart/kindermenu/,html; html; html; html; html; html,,85,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275718
db_67,De Wits,https://dewits.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://dewits.nl/menu/; https://dewits.nl/menu; https://dewits.nl/,html; html; html,,84,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275721
db_23,De Halve Maan,https://dehalvemaan.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,5,https://dehalvemaan.nl/; https://dehalvemaan.nl/menukaart/lunch/; https://dehalvemaan.nl/menukaart/diner/; https://dehalvemaan.nl/?nav_cpt=menukaart; https://dehalvemaan.nl/menukaart/kindermenu/,html; html; html; html; html,0.8977777777777778,80,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275725
db_32,Sol Beach,https://www.solbeach.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,9,https://www.solbeach.nl/ervaar-solbeach-2/menukaarten/; https://www.solbeach.nl/lunch/; https://www.solbeach.nl/lunch; https://www.solbeach.nl/activity/ontbijt/; https://www.solbeach.nl/activity/lunch-2/; https://www.solbeach.nl/activity/high-wine-high-beer/; https://www.solbeach.nl/activity/diner/; https://www.solbeach.nl/activity-category/creatieve-en-muzikale-activiteiten/; https://www.solbeach.nl/lekker-eten-in-scheveningen/,html; html; html; html; html; html; html; html; html,0.83,76,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275730
db_24,Callao,https://www.callao.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.callao.nl/menu/; https://www.callao.nl/menu,html; html,0.953125,64,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275733
db_64,Callao,https://www.callao.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.callao.nl/menu/; https://www.callao.nl/menu,html; html,,64,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275736
db_79,Roti Center Ypenburg,https://www.smakelijk-eten.nl/roti-center-ypenburg,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.smakelijk-eten.nl/food/; https://www.smakelijk-eten.nl/roti-center-ypenburg,html; html,,63,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275740
db_50,Suiderstrand,https://www.suiderstrand.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.suiderstrand.nl/eten-en-drinken,html,0.7017857142857142,56,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275743
db_75,Naga Thai,https://www.nagathai.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,5,https://www.nagathai.nl/lunch; https://www.nagathai.nl/menu; https://www.nagathai.nl/afhaal-menu; https://www.nagathai.nl/combi-menus; https://www.nagathai.nl/menu/,html; html; html; html; html,,56,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275747
db_89,De Salon van Fagel,https://www.salonvanfagel.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.resetspa.nl/nl/over-reset-spa/locatie-den-haag,html,,50,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275750
db_76,Balkan Grill,https://balkangrill.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://balkangrill.nl/index.php/voorgerechten/; https://balkangrill.nl/index.php/hoofdgerechten/; https://balkangrill.nl/index.php/nagerechten/,html; html; html,,42,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275753
db_69,De Chinese Muur,https://chinesemuurdenhaag.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://chinesemuurdenhaag.nl/a-la-carte/,html,,40,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275757
db_41,Hudson beach,https://www.hudsonbeach.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.hudsonbeach.nl/menu/breakfast,html,0.8666666666666667,36,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275760
db_81,Umami,https://www.umami-restaurant.com,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://umami-restaurant.com/menu/; https://umami-restaurant.com/steamed-seafood-bar/; https://umami-restaurant.com/wp-content/uploads/2025/03/Social-Dining-Lunch-Deal-1.pdf; https://www.umami-restaurant.com,html; html; html; html,,20,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275763
db_33,Twins,https://www.twins.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.twins.nl/,html,0.6,16,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275767
db_25,Bistro Le Petit Chef,https://bistrolepetitchef.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://bistrolepetitchef.nl/#menu; https://bistrolepetitchef.nl/wp-content/uploads/2025/05/LPC_Menukaart_Bistro.pdf,html; html,0.99375,15,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275770
db_38,Beachclub La Parade,https://beachclublaparade.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://beachclublaparade.nl/menu/; https://beachclublaparade.nl; https://beachclublaparade.nl/vacature/bartender/,html; html; html,0.5375,15,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275773
db_65,Bistro Le Petit Chef,https://bistrolepetitchef.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://bistrolepetitchef.nl/#menu; https://bistrolepetitchef.nl/wp-content/uploads/2025/05/LPC_Menukaart_Bistro.pdf,html; html,,15,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275777
db_88,De Tapperij,https://www.restaurantdetapperij.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://www.restaurantdetapperij.nl/lunch; https://www.restaurantdetapperij.nl/diner-tapperij; https://www.restaurantdetapperij.nl/wijnen; https://www.restaurantdetapperij.nl/gezelschappen,html; html; html; html,,13,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275780
db_87,Athena Palace,https://www.athenepalace.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://www.athenepalace.nl/menu; https://www.athenepalace.nl/onewebmedia/MenukaartAtheneDenHaag%20A3%2009-05-2025.pdf; https://www.athenepalace.nl/,html; html; html,,7,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275783
db_45,Beachclub Culpepper,https://www.culpepper.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.culpepper.nl/eten; https://www.culpepper.nl/eten-aan-zee,html; html,0.3833333333333333,6,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275795
db_29,Buena Vista Beach Club,https://www.buenavistabeachclub.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://buenavistabeachclub.nl/wp-content/uploads/2025/03/buena-vista_menukaart_boek_2025-CDEF.pdf; https://www.buenavistabeachclub.nl/,html; html,0.44999999999999996,5,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275822
db_84,Restaurant Zebedeus,https://www.zebedeus.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://zebedeus.nl/wp-content/uploads/2025/06/lunchkaartjuni25.pdf; https://zebedeus.nl/wp-content/uploads/2025/06/dinerkaartjuni25.pdf; https://zebedeus.nl/wp-content/uploads/2025/06/bierwijnkaartjuni25.pdf,html; html; html,,5,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275837
db_83,Very Italian Pizza,https://veryitalianpizza.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://veryitalianpizza.nl/wp-content/uploads/2024/12/VIP-Menukaart.pdf,html,,5,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275845
db_80,Bit Grill and Cafe,https://www.bitgrill.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,http://www.restaurant-denhaag.nl/bouzy-wine-food; http://www.restaurant-denhaag.nl/diner-thuis,html; html,,4,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275850
db_21,Eetcafé Hagedis,https://www.restauranthagedis.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.restauranthagedis.nl/menu/,html,0.45,3,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275854
db_70,Ming Dynasty,https://mingdynasty.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://mingdynasty.nl/menu/; https://mingdynasty.nl/menu; https://mingdynasty.nl/,html; html; html,,3,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275857
db_61,Eetcafé Hagedis,https://www.restauranthagedis.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.restauranthagedis.nl/menu/; https://www.restauranthagedis.nl/menu,html; html,,3,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275861
db_86,Verona,https://www.restaurant-verona.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.restaurant-verona.nl/_files/ugd/0ec546_3a72af29752c43019fffe1c756609d49.pdf,html,,3,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275864
db_62,Marea Alta,http://www.barcelonaconnect.com/marea-alta/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,http://www.barcelonaconnect.com/best-cheese-in-barcelona/; http://www.barcelonaconnect.com/best-street-food-markets-barcelona/; http://www.barcelonaconnect.com/category/things-to-do/discover-barcelona/,html; html; html,,2,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275868
db_43,Beachclub Birds,https://www.beachclubbirds.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.beachclubbirds.nl/birds/food-drinks/,html,0.15000000000000002,1,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275876
db_141,Gusto di Italb,https://www.gustodiitalb.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://www.gustodiitalb.nl/menukaart/; https://www.gustodiitalb.nl/menu/; https://www.gustodiitalb.nl/menu,html; html; html,1,0,,database_with_menus,True,2025-08-06T20:04:50.275887
db_151,Gusto di Italb,https://www.gustodiitalb.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.gustodiitalb.nl/menukaart/,html,1,0,,database_with_menus,True,2025-08-06T20:04:50.275922
db_157,Basaal,https://www.restaurantbasaal.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.restaurantbasaal.nl/menu/voor-hoofd-gerechten,html,1,0,,database_with_menus,True,2025-08-06T20:04:50.275926
db_166,La Luna,https://www.ristorantelaluna.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.ristorantelaluna.nl/a-la-carte,html,1,0,,database_with_menus,True,2025-08-06T20:04:50.275930
db_161,Lunchroom Royal Corner,https://www.royalcorner.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.royalcorner.nl/menukaart.pdf,html,0.9,0,,database_with_menus,True,2025-08-06T20:04:50.275935
db_146,De Smulhoeve,https://www.ipsedebruggen.nl/lunchcafe-de-smulhoeve,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.ipsedebruggen.nl/media/initiatieven/smulhoeve/menukaart_drank_en_lunch_heel_-_2025.pdf; https://www.ipsedebruggen.nl/cadeaukaart,html; html,0.8,0,,database_with_menus,True,2025-08-06T20:04:50.275938
db_156,De Smulhoeve,https://www.ipsedebruggen.nl/lunchcafe-de-smulhoeve,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.ipsedebruggen.nl/media/initiatieven/smulhoeve/menukaart_drank_en_lunch_heel_-_2025.pdf,html,0.8,0,,database_with_menus,True,2025-08-06T20:04:50.275941
db_142,Sallo's,https://www.sallos.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://www.sallos.nl/menu/; https://www.sallos.nl/menu; https://www.sallos.nl/lunch/,html; html; html,0.7,0,,database_with_menus,True,2025-08-06T20:04:50.275945
db_140,Yami yami,https://www.yami-yami.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.yami-yami.nl/menu/; https://www.yami-yami.nl/menu,html; html,0.7,0,,database_with_menus,True,2025-08-06T20:04:50.275948
db_143,Yami yami,https://www.yami-yami.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.yami-yami.nl/menu/; https://www.yami-yami.nl/menu,html; html,0.7,0,,database_with_menus,True,2025-08-06T20:04:50.275951
db_150,Yami yami,https://www.yami-yami.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.yami-yami.nl/menu/,html,0.7,0,,database_with_menus,True,2025-08-06T20:04:50.275954
db_152,Sallo's,https://www.sallos.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.sallos.nl/menu/,html,0.7,0,,database_with_menus,True,2025-08-06T20:04:50.275958
db_153,Yami yami,https://www.yami-yami.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.yami-yami.nl/menu/,html,0.7,0,,database_with_menus,True,2025-08-06T20:04:50.275961
db_165,Cucina Di Casa,https://cucinadicasa.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://cucinadicasa.nl/menu.html,html,0.6,0,,database_with_menus,True,2025-08-06T20:04:50.275965
csv_1,Momiji Sushi,https://momiji-sushi.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://momiji-sushi.nl/nl/menu,direct_link,,0,,csv_file,True,2025-08-06T20:04:50.284818
csv_2,Song Phi Nong,http://www.song-phi-nong.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.284887
csv_3,Leuk,https://www.leuketenendrinken.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285025
csv_4,De Tapperij,http://www.detapperij.net/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285128
csv_5,Simonis aan de haven,https://www.simonisvis.nl/vestigingen/aan-de-haven,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285179
csv_6,Follia,https://www.follia.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285214
csv_7,Chefsbar Seinpost,https://www.chefsbarseinpost.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.chefsbarseinpost.nl/menu,direct_link,,0,,csv_file,True,2025-08-06T20:04:50.285335
csv_8,Eethuis Lage Veld,https://www.eethuislageveld.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285362
csv_9,Dozo,https://restaurantdozo.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285400
csv_10,il Senso,https://www.il-senso.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285421
csv_11,Vincenzo's,https://vincenzos.nl/location/pizzeria-centrum,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285457
csv_12,Yara Grieks Eten & Grillroom,https://www.thuisbezorgd.nl/yara,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285477
csv_13,Thai Basil,https://www.thaibasil.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285526
csv_14,La Lanterna,https://www.lalanterna.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285546
csv_15,Anaya Foods,https://anayafoods.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285565
csv_16,La Tavola,https://latavola.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285616
csv_17,Restaurant Lemongrass,https://www.lemongrass.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285650
csv_18,Thais Oriëntal Phuket,http://www.restaurant-phuket.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285671
csv_19,De Dagvisser,https://www.dedagvisser.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285692
csv_20,Dok 28,https://www.dok28.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285743
csv_21,Greekz,http://greekz.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285804
csv_22,Haringhuisje,https://www.hetharinghuisje.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285864
csv_23,1900 aan Zee,https://www.1900.nu,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285882
csv_24,Steam,https://www.steamscheveningen.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285914
csv_25,'t Boothuys,https://tboothuys.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285946
csv_26,Mero,https://www.merovis.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.285963
csv_27,Het Gouden Kalf,https://www.hetgoudenkalf.com/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286009
csv_28,Café Constant,https://www.cafeconstant.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286026
csv_29,Indian Bay Dreams,https://www.indianbaydreams.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286050
csv_30,Anfa Restaurant,https://anfarestaurant.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286096
csv_31,Hang Zhou,https://www.hangzhoudenhaag.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286113
csv_32,Bar Bowie,https://www.barbowie.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286145
csv_33,Proeflokaal Bregje,https://proeflokaalbregje.nl/uit-eten/den-haag/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286162
csv_34,Little Miss Sangria,https://www.littlemisssangria.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286179
csv_35,Le Borsalino,https://www.borsalino.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286211
csv_36,Eetcafé Augustus,https://www.eetcafe-augustus.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286228
csv_37,Restaurant Ruby,https://www.restaurant-ruby.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286245
csv_38,Oscars,https://www.oscars.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286262
csv_39,De Vegetarische Toko,https://www.devegetarischetoko.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286294
csv_40,Veggies on Fire,https://www.veggiesonfire.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286339
csv_41,The Village Lounge,http://www.thevillagelounge.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,0,,,,0,,csv_file,False,2025-08-06T20:04:50.286357
